coverage,complexity,lines,modify,bug_shown,bug_coupling,fixed_shown,fix_coupling,result
0.871931824,1.476483836,1555,318,0,0,1,1,0
0.902946978,1.383563192,1214,119,0,0,0,0,0
0.81165997,11.33754339,660,37,0,0,0,0,0
0.839936031,2.598829676,463,12,0,0,1,1,0
0.867139646,0.397187339,24,17,0,0,1,1,0
0.852176416,6.959604815,6073,134,4,3,2,2,1
0.818452596,2.459849477,5897,159,4,1,1,1,1
0.840708268,2.452707957,2662,39,4,1,2,2,1
0.847532913,1.796538544,8371,67,3,3,0,0,1
0.793103347,10.75471292,3607,300,3,1,1,1,1
0.879638277,20.82377026,605,292,3,1,2,2,1
0.844028091,6.873341344,565,88,3,2,1,1,1
0.829392932,1.924702408,9596,11,2,2,1,1,1
0.812276295,4.851453371,8081,137,2,1,1,1,1
0.897157753,13.17210248,7316,64,2,1,0,0,1
0.837929032,0.901155675,6368,107,2,2,1,0,1
0.836199515,2.45423204,6339,173,2,2,1,0,1
0.842748319,5.446087451,6298,142,2,2,3,3,1
0.890000489,2.57775955,6238,236,2,1,2,2,1
0.840477457,1.919858771,5311,116,2,2,1,1,1
0.874898631,6.606170531,4950,11,2,0,1,1,1
0.85807803,17.12345002,4827,121,2,1,1,0,1
0.903837938,10.76114973,4438,140,2,2,2,2,1
0.851148791,1.401036134,4066,183,2,2,0,0,1
0.821143865,0.35050789,3947,10,2,2,2,1,1
0.89166689,4.172184077,3825,82,2,2,1,0,1
0.829281154,7.539255428,3580,49,2,2,1,1,1
0.81241195,6.150837077,2959,54,2,2,0,0,1
0.810714512,4.16038396,2911,147,2,2,1,1,1
0.874464482,10.26655861,2613,131,2,0,2,1,1
0.883128805,2.562762647,2485,158,2,1,2,1,1
0.857850813,4.861670425,2392,308,2,2,1,0,1
0.81552077,5.335786115,2355,141,2,2,1,0,1
0.827740084,7.205102782,2220,345,2,1,1,1,1
0.849467641,10.04388706,2120,329,2,1,0,0,1
0.884454429,3.740011331,1842,125,2,1,1,0,1
0.836037304,4.979865845,1551,72,2,2,1,1,1
0.88062938,7.145054421,1549,370,2,2,2,1,1
0.878462342,0.086527569,1479,14,2,2,0,0,1
0.881101265,6.081516836,1457,125,2,1,0,0,1
0.854214925,9.22100715,1361,108,2,1,0,0,1
0.859979025,6.871274632,1170,73,2,0,3,3,1
0.814619937,4.363445401,913,140,2,1,1,0,1
0.809285727,9.055655479,630,224,2,0,0,0,1
0.85973181,5.884218202,449,24,2,1,1,0,1
0.831021008,5.859275751,427,125,2,1,1,1,1
0.862822674,2.369382583,401,131,2,1,1,1,1
0.833189739,11.44581887,224,218,2,1,2,0,1
0.79048915,8.121342597,9819,42,1,1,2,2,1
0.784621696,1.251344449,9770,14,1,1,3,2,1
0.896354371,2.870464949,9495,424,1,1,2,1,1
0.849523743,6.465833964,8110,234,1,1,0,0,1
0.864856979,5.804663877,7734,93,1,0,2,1,1
0.792833246,4.604798131,7229,42,1,1,0,0,1
0.817553435,4.743440998,7035,280,1,1,0,0,1
0.822118071,12.18239838,6870,31,1,1,1,1,1
0.836342591,9.685937289,6451,118,1,0,0,0,1
0.895238601,10.02527531,6224,83,1,1,1,1,1
0.852244806,0.700168383,5844,275,1,1,1,0,1
0.843785163,3.520082553,4994,94,1,1,2,2,1
0.901070728,12.26435954,3234,23,1,0,4,3,1
0.898607411,10.28044877,1649,87,1,0,2,2,1
0.841972368,1.050250626,12469,176,0,0,3,3,1
0.802530841,6.24689571,10367,60,0,0,1,1,1
0.831952345,10.70112231,5472,181,0,0,1,1,1
0.803232858,4.777116157,5222,24,0,0,2,1,1
0.821266599,10.85483168,4971,158,0,0,2,0,1
0.871577583,5.793061626,1658,188,0,0,1,1,1
0.850171615,7.238490128,1647,41,0,0,2,2,1
0.864525873,7.795408994,1294,68,0,0,2,2,1
0.888066893,1.485920897,1276,269,0,0,2,1,1
0.866303857,6.931180195,1147,177,0,0,2,1,1
0.843034404,1.123181347,610,9,0,0,2,1,1
0.844773255,13.10143807,599,199,0,0,1,1,1
0.826109245,5.271422373,578,38,0,0,2,1,1
0.810513231,0.310713263,542,67,0,0,2,0,1
0.842033619,5.359402789,11,9,0,0,1,1,1
0.833922877,1.685652846,4826,163,1,1,0,0,1
0.818407007,3.773696837,4480,96,1,1,1,1,1
0.80185341,1.168737413,4290,312,1,0,2,2,1
0.870016583,6.511912863,4026,1,1,1,2,2,1
0.878055852,6.567476735,4023,224,1,0,1,0,0
0.853758675,3.437264438,4001,136,1,1,2,2,1
0.812871966,8.167505636,3873,5,1,1,0,0,0
0.839422479,2.324408897,3724,326,1,1,1,1,1
0.8892097,4.207506705,3667,51,1,0,2,1,1
0.839130115,9.517801392,3529,240,1,0,2,2,1
0.85819349,9.739565311,3422,275,1,1,2,0,1
0.85672132,4.736979429,3414,157,1,1,1,1,1
0.891065849,3.433229687,3336,38,1,1,1,1,1
0.871555669,4.532837754,3324,150,1,1,3,3,1
0.835657036,4.985607826,3299,123,1,1,1,1,1
0.854575354,0.114136862,3265,22,1,1,2,0,1
0.89439826,2.912630867,3146,373,1,0,0,0,0
0.85654713,5.518279149,3077,39,1,1,1,0,1
0.788262457,0.40412927,3003,73,1,1,1,1,1
0.857114416,4.543975238,2963,27,1,0,1,1,1
0.829805192,0.800306364,2867,170,1,1,0,0,1
0.892989002,0.331816788,2753,122,1,1,2,1,1
0.864098234,3.90519819,2740,36,1,1,0,0,0
0.872420814,10.34423906,2716,198,1,1,0,0,1
0.842294905,4.977765172,2667,3,1,1,2,1,1
0.800339943,17.0628791,2630,20,1,1,2,2,1
0.85125348,10.24011034,2612,5,1,1,0,0,0
0.815440828,5.380444027,2444,102,1,1,0,0,1
0.851759564,1.721151343,2325,98,1,1,0,0,0
0.810066333,5.4367542,2302,194,1,1,1,0,1
0.865917658,6.418451329,2069,148,1,0,1,1,1
0.798348163,4.315316234,2052,45,1,1,0,0,1
0.882038038,8.87205014,1805,32,1,1,1,0,1
0.864960714,13.87037413,1746,84,1,1,1,0,1
0.864092043,12.99885129,1724,82,1,1,1,0,1
0.83177808,8.385349911,1716,159,1,1,1,1,1
0.864260674,6.194511046,1542,308,1,1,1,1,1
0.857082301,5.431374135,1392,104,1,1,1,1,1
0.859675995,2.863895146,1381,114,1,0,1,1,1
0.837929592,1.574484943,1214,360,1,1,0,0,1
0.889056068,8.789359203,1156,83,1,1,1,1,1
0.863066441,0.394087711,1102,132,1,0,1,1,1
0.855436901,3.324877231,1042,239,1,1,1,0,1
0.856687097,7.916640893,1034,196,1,0,0,0,1
0.861461598,0.351905516,1013,182,1,1,2,2,1
0.884506341,4.792144653,825,6,1,1,3,3,1
0.848641853,9.961447805,775,89,1,1,0,0,1
0.847683358,2.954814206,760,180,1,0,3,1,1
0.864742303,10.79483536,680,163,1,1,1,1,1
0.838947878,0.65128905,631,40,1,1,2,2,1
0.832827041,3.311938121,527,24,1,1,1,1,1
0.886031361,13.65910803,458,10,1,1,1,1,1
0.827099037,9.436869502,453,370,1,0,0,0,1
0.850750367,4.385154852,436,36,1,1,0,0,0
0.844410638,3.419428909,369,103,1,0,1,1,1
0.879596915,0.757440228,355,61,1,1,0,0,0
0.818761251,5.31175995,294,33,1,0,1,1,1
0.827777405,2.777228416,254,128,1,0,2,2,1
0.849700094,6.752672117,192,49,1,0,2,2,1
0.856091079,7.283425132,183,36,1,0,1,1,1
0.849119753,5.229711104,4679,171,0,0,0,0,0
0.796515906,16.10645699,4546,16,0,0,0,0,0
0.832749062,4.506953562,4449,145,0,0,0,0,0
0.851626145,7.248125158,4314,201,0,0,0,0,0
0.818777902,0.261589244,4238,86,0,0,0,0,0
0.7964782,10.12897987,4165,58,0,0,0,0,0
0.86290656,9.8704472,3846,28,0,0,0,0,0
0.853652016,14.01031336,3691,65,0,0,0,0,0
0.869724472,3.508257475,3658,134,0,0,2,1,1
0.875963785,9.376694235,3605,38,0,0,1,1,0
0.811684592,3.204352553,3550,24,0,0,1,0,1
0.797835956,8.949632743,3381,5,0,0,0,0,0
0.832301529,0.306160791,3374,91,0,0,2,2,1
0.843837745,4.30005032,3343,128,0,0,0,0,0
0.828460193,6.527466884,3135,218,0,0,1,0,1
0.831108385,4.126580244,3095,79,0,0,2,2,1
0.854225901,6.365015926,3068,32,0,0,0,0,0
0.797390459,9.314704652,2951,306,0,0,0,0,0
0.795360277,11.10425334,2949,65,0,0,0,0,0
0.819651104,7.404471995,2688,22,0,0,3,1,1
0.895397269,6.416943091,2135,186,0,0,1,0,1
0.821678776,9.657625733,2129,3,0,0,0,0,0
0.829648714,3.812334707,2111,117,0,0,1,1,1
0.786466445,1.798773185,2083,67,0,0,1,0,0
0.841063426,2.826702144,2077,161,0,0,2,2,1
0.862553177,1.437425037,2013,207,0,0,0,0,0
